,2003-04-01_SIDToday_-_Deployed_SIGINT_Analysts--An_Urgent_Need.pdf.txt,2003-04-01_SIDToday_-_Practical_Jokes_and_April_Fools.pdf.txt,2003-04-02_SIDToday_-_Last_QUICKMASK_Training_Today.pdf.txt,2003-04-02_SIDToday_-_New_Hire_Whats_On_Your_Mind_Session_--_Today.pdf.txt,2003-04-02_SIDToday_-_SIGINT_Strategy__The_Importance_of_Common_Goals.pdf.txt,2003-04-03_SIDToday_-_GEOCELL_Supports_IRAQI_FREEDOM.pdf.txt,2003-04-03_SIDToday_-_SID_Leadership_Transition_Passing_the_Baton.pdf.txt,2003-04-03_SIDToday_-_Schedule_for_3rd_and_4th_Quarter_Tools_Courses.pdf.txt,2003-04-04_SIDToday_-_Profiles_SID_Communications_and_Support_Operations.pdf.txt,2003-04-04_SIDToday_-_Read_All_About_Us.pdf.txt,2003-04-07_SIDToday_-_ICAP_Call_for_Applications.pdf.txt,2003-04-07_SIDToday_-_Support_to_UN_Diplomatic_Efforts_on_Iraq.pdf.txt,2003-04-08_SIDToday_-_Profile_SID_Registry_-_Grand_Central.pdf.txt,2003-04-08_SIDToday_-_Promotion_Cycle_Recap.pdf.txt,2003-04-09_SIDToday_-_Profile_SIGINT_Support_Services.pdf.txt,2003-04-09_SIDToday_-_Uncovering_North_Korea_Nuclear_Programs.pdf.txt,Sum
be,0.007407407407407408,0.0033500837520938024,0.00558659217877095,0.009174311926605505,0.009302325581395349,0.002881844380403458,0.011661807580174927,0.0024813895781637717,0.003861003861003861,0.006521739130434782,0.018900343642611683,0.002288329519450801,0.0048543689320388345,0.007177033492822967,0.006097560975609756,0.006211180124223602,0.10775732206321145
can,0.007407407407407408,0.005025125628140704,0.0111731843575419,0.013761467889908258,0.0069767441860465115,0.005763688760806916,0.0029154518950437317,0.0037220843672456576,0.007722007722007722,0.004347826086956522,0.005154639175257732,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.009146341463414634,0.009316770186335404,0.10664845609226883
nsa,0.007407407407407408,0.0016750418760469012,0.00558659217877095,0.009174311926605505,0.002325581395348837,0.011527377521613832,0.0014577259475218659,0.0024813895781637717,0.007722007722007722,0.006521739130434782,0.010309278350515464,0.011441647597254004,0.0024271844660194173,0.0023923444976076554,0.012195121951219513,0.003105590062111801,0.09775034160864944
top,0.007407407407407408,0.008375209380234505,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.007177033492822967,0.006097560975609756,0.006211180124223602,0.0963648685859009
page,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.005154639175257732,0.004576659038901602,0.007281553398058253,0.004784688995215311,0.009146341463414634,0.006211180124223602,0.09614157647239607
support,0.011111111111111112,,,,,0.002881844380403458,0.0014577259475218659,0.0024813895781637717,0.02702702702702703,,,0.009153318077803204,0.007281553398058253,,0.03353658536585366,,0.09493055488594235
classification,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.00859106529209622,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.09410203763541028
usa,0.011111111111111112,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.09265110216385625
possible,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.007281553398058253,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.09137458292617197
secret,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.006521739130434782,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.0911213115036308
gbr,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.08894739846015255
rel,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.08894739846015255
aus,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.08894739846015255
highest,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.08894739846015255
nzl,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.08894739846015255
tk,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0024813895781637717,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.08894739846015255
dynamic,0.007407407407407408,0.0033500837520938024,0.0111731843575419,0.009174311926605505,0.004651162790697674,0.005763688760806916,0.0029154518950437317,0.0012406947890818859,0.007722007722007722,0.004347826086956522,0.003436426116838488,0.004576659038901602,0.0048543689320388345,0.004784688995215311,0.006097560975609756,0.006211180124223602,0.08770670367107067
our,0.022222222222222223,,,,0.023255813953488372,0.005763688760806916,0.0058309037900874635,0.0024813895781637717,0.003861003861003861,0.004347826086956522,0.001718213058419244,0.004576659038901602,0.0048543689320388345,,0.003048780487804878,0.003105590062111801,0.0850664598320055
this,0.007407407407407408,0.0016750418760469012,,0.009174311926605505,0.002325581395348837,0.005763688760806916,0.004373177842565598,0.0012406947890818859,,0.002173913043478261,0.003436426116838488,,0.0048543689320388345,0.014354066985645933,0.012195121951219513,0.015527950310559006,0.08450175133764308
we,0.003703703703703704,,,0.01834862385321101,0.01627906976744186,,0.011661807580174927,,,0.006521739130434782,,,0.007281553398058253,0.014354066985645933,0.003048780487804878,,0.08119934490647535
are,0.003703703703703704,0.0016750418760469012,0.0111731843575419,0.009174311926605505,,,0.0014577259475218659,0.0037220843672456576,0.003861003861003861,0.006521739130434782,0.005154639175257732,,0.012135922330097087,0.0215311004784689,,,0.0801104571539279
or,0.003703703703703704,0.0016750418760469012,0.0111731843575419,0.009174311926605505,0.002325581395348837,0.002881844380403458,0.0029154518950437317,0.004962779156327543,0.003861003861003861,0.004347826086956522,0.005154639175257732,0.002288329519450801,0.012135922330097087,0.007177033492822967,0.003048780487804878,0.003105590062111801,0.07993102370652723
you,0.003703703703703704,,0.00558659217877095,0.022935779816513763,0.004651162790697674,,0.02040816326530612,,,0.002173913043478261,0.003436426116838488,,0.0048543689320388345,0.0023923444976076554,0.003048780487804878,,0.07319123483276033
as,0.003703703703703704,0.008375209380234505,,0.0045871559633027525,0.0069767441860465115,0.008645533141210375,0.004373177842565598,0.0012406947890818859,,0.006521739130434782,0.003436426116838488,0.006864988558352402,0.0024271844660194173,0.0023923444976076554,0.012195121951219513,,0.07174002372661759
not,0.003703703703703704,0.0033500837520938024,0.0111731843575419,0.0045871559633027525,0.004651162790697674,0.002881844380403458,0.004373177842565598,0.0012406947890818859,0.003861003861003861,0.008695652173913044,0.001718213058419244,0.004576659038901602,0.0024271844660194173,0.004784688995215311,0.003048780487804878,0.006211180124223602,0.07128436978489172
it,,0.0016750418760469012,,,0.018604651162790697,,0.013119533527696793,,,0.015217391304347827,0.003436426116838488,0.004576659038901602,0.007281553398058253,,0.003048780487804878,0.003105590062111801,0.07006562697459726
will,,,,0.0045871559633027525,0.011627906976744186,,0.01020408163265306,0.0024813895781637717,0.007722007722007722,,0.00859106529209622,0.002288329519450801,0.0024271844660194173,0.011961722488038277,,,0.0618908436384762
may,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0029154518950437317,0.011166253101736972,0.003861003861003861,0.004347826086956522,0.005154639175257732,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.06146732265056998
communications,,0.0033500837520938024,0.00558659217877095,,,0.005763688760806916,,,0.023166023166023165,0.002173913043478261,,,0.0048543689320388345,0.0023923444976076554,0.006097560975609756,0.003105590062111801,0.05649016536854114
with,0.003703703703703704,0.005025125628140704,,,0.004651162790697674,0.005763688760806916,0.004373177842565598,0.0012406947890818859,0.003861003861003861,0.006521739130434782,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.006097560975609756,0.003105590062111801,0.053169519085653795
profile,,,,,,,,,0.019305019305019305,,,,0.014563106796116505,,0.018292682926829267,,0.05216080902796508
operations,0.007407407407407408,,,,,0.008645533141210375,,,0.023166023166023165,,,,0.0048543689320388345,,0.006097560975609756,,0.05017089362228954
an,0.003703703703703704,0.0033500837520938024,0.00558659217877095,0.009174311926605505,0.002325581395348837,,0.004373177842565598,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,,,0.006097560975609756,0.003105590062111801,0.04899875610824401
people,,0.005025125628140704,,0.013761467889908258,0.002325581395348837,,,,0.003861003861003861,0.004347826086956522,,0.002288329519450801,,0.01674641148325359,,,0.04835574586406258
i,0.007407407407407408,,,,0.0069767441860465115,,0.029154518950437316,0.0024813895781637717,,0.002173913043478261,,,,,,,0.048193973165533276
have,0.011111111111111112,,,,0.004651162790697674,0.002881844380403458,0.011661807580174927,0.0012406947890818859,,0.004347826086956522,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,,0.003105590062111801,0.0478261083420345
derived,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.006211180124223602,0.047579289292188076
without,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.006211180124223602,0.047579289292188076
intelligence,0.011111111111111112,,,,,0.005763688760806916,0.0029154518950437317,,0.003861003861003861,,0.001718213058419244,0.004576659038901602,0.0048543689320388345,,0.003048780487804878,0.009316770186335404,0.04716604733146558
jan,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.004347826086956522,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.04664761227355454
date,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
reposted,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
cssm,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
consent,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
outside,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
republished,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
run,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
sidtoday,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
articles,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
declassify,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
dated,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
nsanet,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
dl,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.002325581395348837,0.002881844380403458,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.002173913043478261,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.044473699230076276
rm,,,,,,,,0.04218362282878412,,,,,,,,,0.04218362282878412
information,0.003703703703703704,,0.00558659217877095,0.0045871559633027525,,0.002881844380403458,,,,,0.003436426116838488,0.002288329519450801,0.0048543689320388345,0.0023923444976076554,0.003048780487804878,0.009316770186335404,0.04209631596625692
by,0.003703703703703704,0.0033500837520938024,,0.009174311926605505,0.002325581395348837,,0.0029154518950437317,0.0024813895781637717,,0.004347826086956522,0.005154639175257732,0.002288329519450801,,,0.003048780487804878,0.003105590062111801,0.041895687582541086
at,,0.0016750418760469012,0.0111731843575419,,,,0.0029154518950437317,0.0012406947890818859,,0.002173913043478261,0.005154639175257732,0.004576659038901602,,0.009569377990430622,,,0.038478962165782636
your,0.003703703703703704,,0.0111731843575419,0.013761467889908258,0.004651162790697674,,,,,,0.001718213058419244,0.002288329519450801,,,,,0.03729606131972158
if,,,0.0111731843575419,0.009174311926605505,,,,0.0012406947890818859,,0.002173913043478261,,,0.0024271844660194173,0.004784688995215311,0.003048780487804878,0.003105590062111801,0.037128348127858965
please,0.003703703703703704,,0.0111731843575419,0.0045871559633027525,0.002325581395348837,,0.0014577259475218659,,0.003861003861003861,,0.003436426116838488,,0.0024271844660194173,,0.003048780487804878,,0.03602074629908571
all,,,,,0.009302325581395349,,0.007288629737609329,0.0012406947890818859,,0.006521739130434782,0.003436426116838488,,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,,0.035658124806791786
strategy,,,,,0.030232558139534883,0.002881844380403458,,,,0.002173913043478261,,,,,,,0.035288315563416606
what,,0.0016750418760469012,,0.009174311926605505,0.0069767441860465115,,0.004373177842565598,,,0.002173913043478261,,0.002288329519450801,,0.0023923444976076554,0.003048780487804878,0.003105590062111801,0.03520823344171791
team,0.003703703703703704,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,0.004651162790697674,,0.004373177842565598,0.0024813895781637717,,0.002173913043478261,,,0.0024271844660194173,,,,0.031659321442749036
services,,,,,,,0.0014577259475218659,,0.003861003861003861,,,,0.0048543689320388345,,0.021341463414634148,,0.03151456215519871
registry,,,,,,,,,0.003861003861003861,,,,0.024271844660194174,,0.003048780487804878,,0.031181629009002912
more,,0.0016750418760469012,0.00558659217877095,,,0.005763688760806916,0.004373177842565598,,,,0.003436426116838488,,0.0048543689320388345,0.0023923444976076554,0.003048780487804878,,0.03113042069248022
office,,,,0.013761467889908258,,0.002881844380403458,,,0.003861003861003861,,0.001718213058419244,,0.0024271844660194173,,0.006097560975609756,,0.030747274631363994
they,0.003703703703703704,0.005025125628140704,,,,,0.0014577259475218659,,0.003861003861003861,0.008695652173913044,0.001718213058419244,,,0.0023923444976076554,,0.003105590062111801,0.029959358932421874
also,,,0.00558659217877095,,0.004651162790697674,,0.0014577259475218659,,,,,,0.012135922330097087,,0.006097560975609756,,0.029928964222697335
has,0.003703703703703704,0.005025125628140704,,,,0.002881844380403458,0.0029154518950437317,0.0012406947890818859,,,,0.006864988558352402,,0.007177033492822967,,,0.02980884244754885
day,0.003703703703703704,0.010050251256281407,,,0.002325581395348837,,0.0014577259475218659,,,0.002173913043478261,,0.004576659038901602,,0.0023923444976076554,0.003048780487804878,,0.02972895937064821
work,0.007407407407407408,,,,,,0.011661807580174927,,,0.004347826086956522,,,0.0024271844660194173,0.0023923444976076554,,,0.028236570038165928
comms,0.003703703703703704,,,0.0045871559633027525,,0.002881844380403458,,0.0012406947890818859,0.003861003861003861,,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,,0.028149254726797655
north,,,,,,,,,,,,,,,,0.027950310559006212,0.027950310559006212
staff,0.003703703703703704,,,,,,,,0.011583011583011582,,0.006872852233676976,,0.0024271844660194173,,0.003048780487804878,,0.027635532474216556
was,,0.010050251256281407,,,,,0.004373177842565598,,,,,0.006864988558352402,,,,0.006211180124223602,0.02749959778142301
hqs,,,,,,,,0.02729528535980149,,,,,,,,,0.02729528535980149
us,,,,,0.004651162790697674,,0.0029154518950437317,0.0012406947890818859,0.003861003861003861,0.004347826086956522,,,,0.007177033492822967,0.003048780487804878,,0.027241953403411515
april,,0.01507537688442211,0.00558659217877095,0.0045871559633027525,,,,,,,0.001718213058419244,,,,,,0.026967338084915058
time,,0.0033500837520938024,,0.0045871559633027525,0.002325581395348837,,0.0014577259475218659,,0.003861003861003861,,0.001718213058419244,0.004576659038901602,,0.004784688995215311,,,0.026661112011807278
program,,0.0016750418760469012,,,,,,,,,0.015463917525773196,,,,0.003048780487804878,0.006211180124223602,0.026398920013848574
chief,,,,0.0045871559633027525,,0.005763688760806916,,,0.003861003861003861,,0.003436426116838488,,0.0048543689320388345,,0.003048780487804878,,0.025551424121795726
iraq,,,,,,0.01440922190201729,0.0014577259475218659,,,,,0.009153318077803204,,,,,0.025020265927342362
